State,Unemployment_Num,Unemployment_Den,Unemployment_Perc,Uninsured_Num,Uninsured_Den,Uninsured_Perc,Uninsured_Adults_Num,Uninsured_Adults_Den,Uninsured_Adults_Perc,Uninsured_Children_Num,Uninsured_Children_Den,Uninsured_Children_Perc,Diabetes_Prevalence_Num,Diabetes_Prevalence_Den,Diabetes_Prevalence_Perc,HIV_Prevalence_Num,HIV_Prevalence_Den,HIV_Prevalence_Perc,Adult_Obesity_Num,Adult_Obesity_Den,Adult_Obesity_Perc,Violent_Crimes_Num,Violent_Crimes_Den,Violent_Crimes_Perc,Injury_Deaths_Num,Injury_Deaths_Den,Injury_Deaths_Perc,Homicides_Num,Homicides_Den,Homicides_Perc,Firearms_Fatality_Num,Firearms_Fatality_Den,Firearms_Fatalities_Perc,Drugs_Overdose_Death_Num,Drugs_Overdose_Death_Den,Drugs_Overdose_Deaths_Perc,Premature_Deaths_Num,Premature_Deaths_Den,Premature_Deaths_Perc,Low_Birth_Weight_Num,Low_Birth_Weight_Den,Low_Birth_Weight_Perc
AK,51956.0,725572.0,0.07160695285926139,201574.0,1299028.0,0.15517294469403278,163858.0,929122.0,0.17635789487279388,40588.0,387500.0,0.10474322580645161,81062.0,1063955.0045522007,0.07618931219193571,1235.0,1126303.0,0.0010965077781023402,323998.0,1066986.0162143002,0.30365721300599147,8753.0,1120051.0,0.007814822717894096,6618.0,7263273.0,0.0009111594731466104,630.0,8804274.0,7.155615556717113e-05,1597.0,7074200.0,0.00022574990811681885,743.0,3995795.0,0.0001859454751807838,16598.0,4269456.0,0.003887614721875574,9168.0,155451.0,0.05897678368103132
AL,190684.0,4336896.0,0.04396785166164925,855944.0,7946156.0,0.1077179959718888,802088.0,5791254.0,0.13849988275423597,60506.0,2270062.0,0.02665389755874509,1010874.0,7257881.142186001,0.13927949220942118,24458.0,8145014.0,0.0030028186569108412,2546090.0,7252624.780382001,0.3510577311109559,46006.5,9598520.0,0.004793082683580386,38804.0,48560250.0,0.0007990897905179648,6276.0,65641786.0,9.560982999457083e-05,9578.0,48298109.0,0.00019831004149665568,4512.0,27416637.0,0.00016457160664891176,160880.0,27273632.0,0.00589873765254294,83790.0,825884.0,0.1014549258733672
AR,99670.0,2708544.0,0.03679836842229626,456684.0,4855014.0,0.09406440434569292,403944.0,3474804.0,0.1162494345004783,58504.0,1450772.0,0.040326116026501754,585278.0,4389497.092379003,0.1333360035745674,10499.0,4920366.0,0.0021337843566921646,1542332.0,4387663.606002,0.3515155532639748,30178.0,5797788.0,0.005205088561361678,24010.0,29792946.0,0.0008058954626373639,3017.0,37578113.0,8.028609632420872e-05,5230.0,28991069.0,0.00018040038468398664,2267.0,15808357.0,0.00014340516221894532,95680.0,16718408.0,0.00572303295864056,47988.0,535980.0,0.08953319153699765
AZ,322628.0,6625442.0,0.04869531723317478,1339638.0,11226354.0,0.11932974855416104,1104656.0,8018912.0,0.13775634400277745,259282.0,3375808.0,0.07680590839289438,978342.0,10021273.864119003,0.0976265106877217,30367.0,11305039.0,0.0026861473012167406,2729080.0,10031058.484726,0.27206301350505435,55790.5,13584391.5,0.004106956134177965,55142.0,68267028.0,0.0008077398652831349,5380.0,94274148.0,5.7067606699558824e-05,10131.0,68220036.0,0.00014850475892448956,8370.0,41522215.0,0.00020157884159118197,156792.0,38639850.0,0.004057779727405774,84784.0,1191676.0,0.07114685535330073
CA,1837766.0,38623920.0,0.0475810326864803,5574610.0,66523356.0,0.08379928998170207,5053256.0,48571872.0,0.1040366737357786,587374.0,18905834.0,0.03106839930996961,4908040.0,57750351.63958129,0.08498718814096531,238654.0,64838003.0,0.0036807734501014783,13110434.0,57694187.7218582,0.2272401175523083,327327.0,78045343.5,0.0041940618789127375,190892.0,390127442.0,0.0004893067737593296,26830.0,540558178.0,4.963388048122361e-05,30840.0,389997561.0,7.907741761492708e-05,28335.0,235691015.0,0.00012022095963225412,687182.0,222305892.0,0.0030911551368148172,469061.0,6909720.0,0.06788422685723879
CO,169674.0,5984614.0,0.02835170321761771,803758.0,9390534.0,0.08559236354396885,702020.0,6899232.0,0.10175335457627747,112258.0,2613780.0,0.04294852665488297,503166.0,8085977.8117037015,0.06222698252667896,22837.0,9026180.0,0.002530084709146062,1699204.0,8105022.2623383,0.20964828287958082,35389.0,10833286.0,0.00326669119600461,41191.0,54432036.0,0.0007567418569461558,2749.0,71393231.0,3.850505099005815e-05,7043.0,53810318.0,0.00013088567883951178,5529.0,32146375.0,0.00017199450948979472,103131.0,31484435.0,0.0032756185715258983,81364.0,916765.0,0.08875120668873702
CT,179438.0,3837152.0,0.04676332863540459,336516.0,5832842.0,0.057693316568492685,296226.0,4343278.0,0.06820332476990881,44704.0,1575782.0,0.028369406428046518,471720.0,5433084.63038,0.08682360612649007,20253.0,6116935.0,0.003310971916490857,1383240.0,5431179.47016,0.2546850104290975,16222.5,6572514.0,0.0024682336165430764,23312.0,35896558.0,0.0006494215963547258,1596.0,50238670.0,3.176835692505395e-05,1794.0,35896558.0,4.997693650739438e-05,5686.0,21511044.0,0.000264329337060535,69382.0,19971728.0,0.003474010861754176,39656.0,506146.0,0.0783489348923038
DC,48522.0,801788.0,0.06051724395974996,46548.0,1140538.0,0.04081231839710733,41080.0,903746.0,0.0454552495944657,5992.0,247270.0,0.024232620212722933,87092.0,1062097.561,0.08199999999811694,29944.0,1156040.0,0.025902217916335075,245210.0,1061515.1516,0.23099999998153584,16435.0,1340063.0,0.01226434876569236,4854.0,6705424.0,0.0007238915838879092,1488.0,9206062.0,0.00016163262858755458,968.0,6705424.0,0.00014436074437649283,1408.0,4094740.0,0.00034385577594670235,16556.0,3891712.0,0.0042541688593606105,13280.0,132912.0,0.09991573371855061
DE,43844.0,954700.0,0.04592437414894732,102988.0,1526578.0,0.06746330682087649,89520.0,1125292.0,0.0795526849919843,14834.0,422288.0,0.03512768537112113,163512.0,1426485.9054,0.11462573824320381,6372.0,1595337.0,0.003994140422995267,436698.0,1429364.645,0.30551896013910435,9423.5,1887679.0,0.004992109357576156,6806.0,9442602.0,0.0007207759047770943,820.0,13091056.0,6.263818594924657e-05,1072.0,9442602.0,0.0001135280296680936,1636.0,5719876.0,0.0002860201864515944,24642.0,5316640.0,0.0046348821812272414,13324.0,154134.0,0.08644426278433051
FL,838892.0,20200536.0,0.041528204994164514,4956388.0,32285532.0,0.1535173092393212,4453100.0,24143500.0,0.18444301778946715,564928.0,8583020.0,0.06581925709132683,3430868.0,31411612.978487015,0.10922291708960348,212116.0,34647934.0,0.006122038907139456,8324762.0,31374624.01825099,0.26533423938904854,188044.0,40474757.5,0.004645957421733781,153188.0,202628536.0,0.0007560040802940016,16464.0,277958192.0,5.923192938310665e-05,25653.0,202341879.0,0.00012678047731285523,26008.0,123067509.0,0.00021133116458869742,512866.0,112834786.0,0.004545282693229019,265492.0,3068786.0,0.08651368977830322
GA,479572.0,10122826.0,0.047375308041450084,2591988.0,17413296.0,0.14885108482621556,2277186.0,12479156.0,0.18247916766165917,345824.0,5187896.0,0.06665977883905151,1726306.0,14832933.08618101,0.11638332014106502,93314.0,16808986.0,0.005551435404848335,4495938.0,14842689.452307,0.30290588605565655,78151.0,20223704.5,0.0038643266370906476,64475.0,102079984.0,0.0006316125598138808,9357.0,131871908.0,7.095521815002479e-05,14399.0,100608620.0,0.00014311894944985827,8145.0,58190014.0,0.0001399724701905038,258224.0,58804810.0,0.004391205413298674,173467.0,1819616.0,0.09533165239259273
HI,32354.0,1370838.0,0.023601621781713083,97282.0,2311312.0,0.042089514526814205,83800.0,1698736.0,0.049330796545195954,15084.0,640752.0,0.023541089220166303,212646.0,2163132.5874573,0.09830465373828945,5258.0,2332111.0,0.002254609664805835,500872.0,2169069.13601825,0.2309156456485515,7525.0,2849617.5,0.0026407052876394814,7850.0,14222182.0,0.0005519546859968464,397.0,19264203.0,2.060817153972059e-05,476.0,14222182.0,3.346884465407629e-05,1126.0,8575131.0,0.00013130994733491535,27834.0,7940765.0,0.0035052038437102724,21364.0,258726.0,0.08257384259796077
IA,105048.0,3357134.0,0.031290976171937136,253492.0,5090078.0,0.049801201474712176,218014.0,3654888.0,0.05964998106645129,38772.0,1507162.0,0.025725170884085453,441196.0,4596953.3601060035,0.09597573989522187,4726.0,4849300.0,0.0009745736498051265,1483396.0,4603101.957738002,0.3222600788814488,17412.0,6137115.5,0.0028371634850281047,20846.0,31203690.0,0.0006680620144604693,843.0,32470519.0,2.5962011879144895e-05,2313.0,26844780.0,8.616200244516811e-05,1703.0,15407343.0,0.00011053171205444053,68420.0,17408334.0,0.003930301429189031,36320.0,545812.0,0.06654305878214477
ID,52608.0,1666934.0,0.03155973781805398,330328.0,2804290.0,0.11779380877156072,291118.0,1942614.0,0.14985890145957972,42904.0,903724.0,0.0474746714704932,200878.0,2354607.7522065993,0.08531272345117738,1684.0,2482153.0,0.0006784432708217422,666576.0,2351501.0698891995,0.28346829543709645,7223.5,3316222.5,0.002178231406366732,12189.0,16593558.0,0.0007345621716572179,408.0,19296113.0,2.1144154783919436e-05,2352.0,16153571.0,0.00014560248009557762,1276.0,8989749.0,0.00014193944680769173,34782.0,9498513.0,0.0036618363316447532,20898.0,315749.0,0.0661854827727087
